dataset,method,peft_type,seed,alpha,checkpoint_type,checkpoint_id,val_bicubic_acc_pct,val_bilinear_acc_pct,test_nearest_acc_pct,test_nearest_loss_ce,selected,nearest_used_for_selection,corruption_used_for_selection,selection_rule,source_run_dir
CIFAR-100,ADI-DoRA,dora,42,0.2,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,86.74,86.58,50.519999999999996,4.178370753860474,0,0,0,val_bilinear_acc_with_bicubic_guard,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,ADI-DoRA,dora,42,0.4,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,90.9,90.53999999999999,56.35,3.652270719909668,0,0,0,val_bilinear_acc_with_bicubic_guard,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,ADI-DoRA,dora,42,0.6,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,92.62,91.84,57.089999999999996,3.7153882877349855,0,0,0,val_bilinear_acc_with_bicubic_guard,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,ADI-DoRA,dora,42,0.8,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,92.67999999999999,92.14,52.94,4.315020827484131,1,0,0,val_bilinear_acc_with_bicubic_guard,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,ADI-DoRA,dora,42,1.0,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,92.2,91.67999999999999,44.82,5.510523044586182,0,0,0,val_bilinear_acc_with_bicubic_guard,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,ADI-LoRA,lora,42,0.2,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,87.18,86.74,52.38,3.859965954208374,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413
CIFAR-100,ADI-LoRA,lora,42,0.4,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,91.06,90.72,61.53,3.1268631381988525,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413
CIFAR-100,ADI-LoRA,lora,42,0.6,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,92.24,91.94,65.2,2.8721461284637453,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413
CIFAR-100,ADI-LoRA,lora,42,0.8,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,92.72,92.08,64.84,2.9798900939941406,1,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413
CIFAR-100,ADI-LoRA,lora,42,1.0,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,92.54,91.66,60.68,3.42897745552063,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413
CIFAR-100,ADI-LoRA,lora,43,0.2,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,86.48,86.1,52.02,3.952945890045166,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356
CIFAR-100,ADI-LoRA,lora,43,0.4,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,90.88,90.3,59.540000000000006,3.254307051849365,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356
CIFAR-100,ADI-LoRA,lora,43,0.6,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,92.14,91.48,61.72,3.096619923400879,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356
CIFAR-100,ADI-LoRA,lora,43,0.8,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,92.3,91.84,60.27,3.285034468078613,1,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356
CIFAR-100,ADI-LoRA,lora,43,1.0,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,92.02,91.54,56.620000000000005,3.728035595703125,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356
CIFAR-100,ADI-LoRA,lora,44,0.2,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,86.08,85.88,52.82,3.8310955322265614,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722
CIFAR-100,ADI-LoRA,lora,44,0.4,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,90.4,90.28,60.18,3.284376397705078,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722
CIFAR-100,ADI-LoRA,lora,44,0.6,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,91.54,91.34,62.44,3.1690279296875,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722
CIFAR-100,ADI-LoRA,lora,44,0.8,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,92.04,91.78,61.35,3.38754677772522,1,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722
CIFAR-100,ADI-LoRA,lora,44,1.0,final,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,92.1,91.48,56.940000000000005,3.974989461135864,0,0,0,val_bilinear_acc_with_bicubic_guard,./outputs/adi_lora_experiments/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722
