dataset,family,method,seed,alpha_name,alpha,selected_alpha,split,interpolation,acc,loss_ce,lfer,cka_to_frozen,specdist_to_frozen,high_specdist_to_frozen,num_samples,alpha_selection_source,nearest_used_for_alpha_selection,corruption_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,diagnostic_interpretation,source_file,source_run_dir
CIFAR-100,LoRA,LoRA alpha=1.0,42,alpha1,1.0,0.8,test,nearest,0.6068,3.42897745552063,0.6984343957749142,0.5942323708989817,0.940556285107971,0.9460626711511309,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/adi_final_table_work/cifar100_pack/fr_peft_cifar100_seed42_43_44_no_ckpt/fr_peft_cifar100_seed42_same_ckpt_alpha_view/alpha1_same_checkpoint_eval.csv,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413
CIFAR-100,LoRA,ADI-LoRA alpha*,42,selected,0.8,0.8,test,nearest,0.6484,2.9798900939941406,0.6979731378281951,0.6310601363516157,0.9290291788471732,0.9361172010944148,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/adi_final_table_work/cifar100_pack/fr_peft_cifar100_seed42_43_44_no_ckpt/outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/eval_log.csv,
CIFAR-100,LoRA,LoRA alpha=1.0,43,alpha1,1.0,0.8,test,nearest,0.5662,3.728035595703125,0.6952083274057717,0.6126471256754201,0.9360511420638697,0.941403254202217,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/adi_final_table_work/cifar100_pack/fr_peft_cifar100_seed42_43_44_no_ckpt/fr_peft_cifar100_seed43_same_ckpt_alpha_view/alpha1_same_checkpoint_eval.csv,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356
CIFAR-100,LoRA,ADI-LoRA alpha*,43,selected,0.8,0.8,test,nearest,0.6027,3.285034468078613,0.6928151644718875,0.6526889117660036,0.9240191810449977,0.9310534034564997,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/adi_final_table_work/cifar100_pack/fr_peft_cifar100_seed42_43_44_no_ckpt/outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/eval_log.csv,
CIFAR-100,LoRA,LoRA alpha=1.0,44,alpha1,1.0,0.8,test,nearest,0.5694,3.974989461135864,0.697550572027826,0.603752542453207,0.9394115968874306,0.9444448017770317,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/adi_final_table_work/cifar100_pack/fr_peft_cifar100_seed42_43_44_no_ckpt/fr_peft_cifar100_seed44_same_ckpt_alpha_view/alpha1_same_checkpoint_eval.csv,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722
CIFAR-100,LoRA,ADI-LoRA alpha*,44,selected,0.8,0.8,test,nearest,0.6135,3.3875467777252197,0.6972905818823796,0.6438646688582791,0.9286198957710509,0.9352154648228056,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/adi_final_table_work/cifar100_pack/fr_peft_cifar100_seed42_43_44_no_ckpt/outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/eval_log.csv,
CIFAR-100,DoRA,DoRA alpha=1.0,42,alpha1,1.0,0.8,test,nearest,0.4482,5.510523044586182,0.6921759262965743,0.5817097087574613,0.9431198850558822,0.9476832982840812,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42/test_eval_same_checkpoint.csv,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,DoRA,ADI-DoRA alpha*,42,selected,0.8,0.8,test,nearest,0.5294,4.315020827484131,0.6919001113077637,0.6382594355352366,0.9319737933243916,0.9385448823309248,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42/test_eval_same_checkpoint.csv,outputs/fr_peft_cifar100/dora_seed42_20260626_152357
CIFAR-100,DoRA,DoRA alpha=1.0,43,alpha1,1.0,0.8,test,nearest,0.4808,5.168368643188477,0.6923450299888659,0.5722901999570762,0.9418941166750185,0.9466319479000797,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/dora_diag_check_20260703/outputs/adi_q2_edge/dora_seed43_full_alpha_nearest_diagnostic/test_eval_same_checkpoint.csv,outputs/fr_peft_cifar100/dora_seed43_20260627_142535
CIFAR-100,DoRA,ADI-DoRA alpha*,43,selected,0.8,0.8,test,nearest,0.5447,4.153890328979492,0.691299548574314,0.6351531808543357,0.9297963688328008,0.9366066778541371,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/dora_diag_check_20260703/outputs/adi_q2_edge/dora_seed43_full_alpha_nearest_diagnostic/test_eval_same_checkpoint.csv,outputs/fr_peft_cifar100/dora_seed43_20260627_142535
CIFAR-100,DoRA,DoRA alpha=1.0,44,alpha1,1.0,0.6,test,nearest,0.4485,5.6725262283325195,0.6943265074377607,0.5786372947085435,0.9414410803728043,0.94606679715928,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/dora_diag_check_20260703/outputs/adi_q2_edge/dora_seed44_full_alpha_nearest_diagnostic/test_eval_same_checkpoint.csv,outputs/fr_peft_cifar100/dora_seed44_20260627_161856
CIFAR-100,DoRA,ADI-DoRA alpha*,44,selected,0.6,0.6,test,nearest,0.5643,3.8178911994934084,0.6907367512678645,0.6975276766309313,0.9074084618289,0.9167634776443433,10000,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,suggests_not_proves,source_packages/dora_diag_check_20260703/outputs/adi_q2_edge/dora_seed44_full_alpha_nearest_diagnostic/test_eval_same_checkpoint.csv,outputs/fr_peft_cifar100/dora_seed44_20260627_161856
