table_name,dataset,method,seed,selected_alpha,alpha1_iid_acc_pct,alpha1_bilinear_acc_pct,alpha1_nearest_acc_pct,selected_iid_acc_pct,selected_bilinear_acc_pct,selected_nearest_acc_pct,iid_gain_pp,bilinear_gain_pp,nearest_gain_pp,alpha1_nearest_drop_pp,selected_nearest_drop_pp,drop_reduction_pp,alpha1_nearest_rrr_pct,selected_nearest_rrr_pct,nearest_used_for_alpha_selection,corruption_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,nan_flag,divergence_flag,same_checkpoint_eval,final_checkpoint_only,placement,evidence_level,source_file,evidence_group,corruption,severity,alpha1_acc_pct,selected_acc_pct,acc_gain_pp,alpha1_loss_ce,selected_loss_ce,loss_reduction,n,analysis_group,mean_alpha1_iid_pct,mean_selected_iid_pct,mean_alpha1_bilinear_pct,mean_selected_bilinear_pct,mean_alpha1_nearest_pct,mean_selected_nearest_pct,mean_nearest_gain_pp,std_nearest_gain_pp,mean_drop_reduction_pp,positive_seeds,total_seeds,selected_alpha_distribution,mean_alpha1_acc_pct,mean_selected_acc_pct,mean_acc_gain_pp,std_acc_gain_pp,positive_corruption_cases,total_corruption_cases,mean_loss_reduction,loss_positive_cases
Main_CIFAR100_Clean,CIFAR-100,ADI-LoRA,42,0.8,92.53,91.76,60.68,92.89,92.25,64.84,0.36,0.49,4.16,31.85,28.05,3.8,65.5787,69.803,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,cda45db1835c_fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload/fr_peft_cifar100_seed42_43_44_no_ckpt/combined_same_checkpoint_comparison.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100_Clean,CIFAR-100,ADI-LoRA,43,0.8,92.84,92.18,56.62,93.08,92.59,60.27,0.24,0.41,3.65,36.22,32.81,3.41,60.9866,64.7508,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,cda45db1835c_fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload/fr_peft_cifar100_seed42_43_44_no_ckpt/combined_same_checkpoint_comparison.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100_Clean,CIFAR-100,ADI-LoRA,44,0.8,92.47,91.95,56.94,92.73,92.17,61.35,0.26,0.22,4.41,35.53,31.38,4.15,61.5767,66.1598,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,cda45db1835c_fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload/fr_peft_cifar100_seed42_43_44_no_ckpt/combined_same_checkpoint_comparison.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100_Clean,CIFAR-100,ADI-DoRA,42,0.8,92.16,91.44,44.82,92.65,91.98,52.94,0.49,0.54,8.12,47.34,39.71,7.63,48.6328,57.1398,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,f140930b3819_cifar100_dora_seed42_same_checkpoint_alpha_eval_no_ckpt_20260626_17064./outputs/cifar100_dora_seed42_same_checkpoint_alpha_eval_20260626_165337/same_checkpoint_comparison.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100_Clean,CIFAR-100,ADI-DoRA,43,0.8,92.76,92.06,48.08,92.83,92.18,54.47,0.07,0.12,6.39,44.68,38.36,6.32,51.8327,58.6772,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,426a8e33718b_cifar100_dora_seed43_alpha_eval_no_ckpt_20260627_161631./outputs/cifar100_dora_seed43_same_checkpoint_alpha_eval_20260627_160355/same_checkpoint_comparison.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100_Clean,CIFAR-100,ADI-DoRA,44,0.6,92.63,91.91,44.85,92.65,92.08,56.43,0.02,0.17,11.58,47.78,36.22,11.56,48.4184,60.9066,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,519d8c77ecac_cifar100_dora_seed44_alpha_eval_no_ckpt_20260627_182341./outputs/cifar100_dora_seed44_same_checkpoint_alpha_eval_20260627_175841/same_checkpoint_comparison.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,gaussian_noise,3,46.8,52.36,5.56,5.241,4.378835,0.862165,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,shot_noise,3,57.89,62.96,5.07,3.931822,3.283205,0.648617,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,impulse_noise,3,59.39,68.31,8.92,3.893826,2.886037,1.007789,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,defocus_blur,3,89.04,89.68,0.64,0.872456,0.816844,0.055613,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,glass_blur,3,54.12,58.61,4.49,4.853334,4.154706,0.698628,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,motion_blur,3,78.68,80.11,1.43,1.885829,1.737935,0.147895,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,zoom_blur,3,84.92,85.63,0.71,1.244417,1.149497,0.09492,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,snow,3,82.07,82.97,0.9,1.536428,1.413374,0.123054,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,frost,3,80.36,81.87,1.51,1.703776,1.530413,0.173363,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,fog,3,87.76,88.57,0.81,0.961614,0.869249,0.092364,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,brightness,3,91.44,91.82,0.38,0.665488,0.618263,0.047225,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,contrast,3,90.21,91.14,0.93,0.749616,0.678236,0.071379,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,elastic_transform,3,84.6,85.06,0.46,1.307698,1.222142,0.085556,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,pixelate,3,81.48,83.01,1.53,1.537299,1.379471,0.157828,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,jpeg_compression,3,72.76,74.74,1.98,2.413345,2.147957,0.265388,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,speckle_noise,3,65.54,69.82,4.28,3.112835,2.569422,0.543413,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,gaussian_blur,3,86.32,87.47,1.15,1.112023,1.025654,0.086369,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,spatter,3,81.79,82.67,0.88,1.525859,1.410052,0.115807,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Supplement,,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv,full19_severity3_seed42,saturate,3,91.45,91.91,0.46,0.672483,0.633532,0.038951,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,gaussian_noise,1,77.97,80.16,2.19,1.784772,1.555651,0.229121,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,gaussian_noise,3,46.8,52.36,5.56,5.241,4.378835,0.862165,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,gaussian_noise,5,32.16,38.56,6.4,7.520837,6.159512,1.361325,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,jpeg_compression,1,82.72,83.89,1.17,1.396532,1.249214,0.147318,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,jpeg_compression,3,72.76,74.74,1.98,2.413345,2.147957,0.265388,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,jpeg_compression,5,64.54,66.76,2.22,3.304071,2.936211,0.36786,10000,,,,,,,,,,,,,,,,,,,,,
Main_CIFAR100C,CIFAR-100-C,ADI-DoRA,42,0.8,,,,,,,,,,,,,,,0,0,final_checkpoint_only,0,,,,,Main paper,,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv,subset_3seed_4corruptions_s1s3s5,zoom_blur,1,87.2,87.92,0.72,1.044677,0.974038,0.070639,10000,,,,,,,,,,,,,,,,,,,,,
